MAV,RMS,V,WL,SSC,IEMG,LOGVAR,PF,TP,SE,FR,BW,PSD,P2P,MOV
0.004393,0.006111,0.000037,27.871700,4743.000000,43.930700,-10.195200,120.000000,0.000075,7.663000,0.252490,0.000000,0.000075,0.001299,reposo
0.004237,0.005979,0.000036,26.540200,4852.000000,42.370800,-10.238800,120.000000,0.000072,7.665300,0.263020,-79.000000,0.000072,0.001074,reposo
0.003849,0.005383,0.000029,23.448700,4846.000000,38.487000,-10.449100,120.000000,0.000058,7.653900,0.270280,-115.000000,0.000058,0.000904,reposo
0.003733,0.005250,0.000028,22.747600,4895.000000,37.326500,-10.498700,120.000000,0.000055,7.648600,0.271800,-55.600000,0.000055,0.001147,reposo
0.003340,0.004510,0.000020,20.253100,4957.000000,33.397900,-10.802900,120.000000,0.000041,7.663900,0.278110,-10.800000,0.000041,0.000979,reposo
0.003347,0.004561,0.000021,20.807500,4904.000000,33.468800,-10.780400,120.000000,0.000042,7.685200,0.273070,-78.800000,0.000042,0.000829,reposo
0.003667,0.004910,0.000024,23.070200,4872.000000,36.667000,-10.633000,120.000000,0.000048,7.695400,0.267630,-12.600000,0.000048,0.000994,reposo
0.003546,0.004732,0.000022,22.112600,4891.000000,35.454800,-10.706600,120.000000,0.000045,7.685500,0.269000,-104.200000,0.000045,0.000880,reposo
0.003693,0.004899,0.000024,23.260900,4822.000000,36.931400,-10.637400,120.000000,0.000048,7.701000,0.258980,0.000000,0.000048,0.000973,reposo
0.003352,0.004503,0.000020,21.365200,4904.000000,33.518800,-10.806100,120.000000,0.000041,7.701700,0.267620,0.000000,0.000041,0.000910,reposo
0.003213,0.004375,0.000019,20.682900,4938.000000,32.134100,-10.863500,120.000000,0.000038,7.709400,0.251860,-51.200000,0.000038,0.000856,reposo
0.003133,0.004223,0.000018,19.890700,4942.000000,31.331600,-10.934200,120.000000,0.000036,7.687900,0.265180,-197.800000,0.000036,0.000688,reposo
0.003087,0.004150,0.000017,19.586400,4980.000000,30.872100,-10.969000,120.000000,0.000034,7.667300,0.274710,-51.800000,0.000034,0.000738,reposo
0.003092,0.004208,0.000018,19.956000,4933.000000,30.916600,-10.941400,120.000000,0.000035,7.677700,0.254060,-69.400000,0.000035,0.000900,reposo
0.003312,0.004492,0.000020,21.135400,4901.000000,33.118100,-10.810700,120.000000,0.000040,7.673600,0.258270,-114.600000,0.000040,0.000818,reposo
0.003393,0.004736,0.000022,21.374300,4876.000000,33.927900,-10.705200,120.000000,0.000045,7.691000,0.264250,-197.000000,0.000045,0.000694,reposo
0.003531,0.005039,0.000025,21.836000,4932.000000,35.308100,-10.581100,120.000000,0.000051,7.677100,0.260370,-127.800000,0.000051,0.000862,reposo
0.002422,0.003340,0.000011,15.082800,5001.000000,24.219700,-11.403700,120.000000,0.000022,7.679800,0.273610,0.000000,0.000022,0.001022,reposo
0.002276,0.003091,0.000010,14.561300,5009.000000,22.765000,-11.558400,120.000000,0.000019,7.684800,0.271030,0.000000,0.000019,0.000896,reposo
0.002295,0.003131,0.000010,14.769700,4984.000000,22.952200,-11.533000,120.000000,0.000020,7.685100,0.264500,0.000000,0.000020,0.000985,reposo
0.002240,0.003051,0.000009,14.392100,5027.000000,22.394700,-11.584300,120.000000,0.000019,7.667900,0.263900,-60.000000,0.000019,0.000790,reposo
0.002397,0.003223,0.000010,15.499000,4948.000000,23.972000,-11.474700,120.000000,0.000021,7.712700,0.265790,-299.800000,0.000021,0.000794,reposo
0.002704,0.003611,0.000013,17.141600,4919.000000,27.036500,-11.247400,120.000000,0.000026,7.706200,0.278370,0.000000,0.000026,0.001071,reposo
0.003092,0.004073,0.000017,19.397100,4854.000000,30.917900,-11.006800,120.000000,0.000033,7.693800,0.266780,-75.000000,0.000033,0.000828,reposo
0.002938,0.003927,0.000015,18.083900,4819.000000,29.382700,-11.079500,120.000000,0.000031,7.669800,0.289200,0.000000,0.000031,0.000943,reposo
0.002661,0.003557,0.000013,16.561500,4834.000000,26.613500,-11.277700,120.000000,0.000025,7.690500,0.289750,-303.200000,0.000025,0.000841,reposo
0.002453,0.003315,0.000011,15.387900,4787.000000,24.530100,-11.418700,120.000000,0.000022,7.682300,0.289580,-419.800000,0.000022,0.000715,reposo
0.002597,0.003444,0.000012,16.226500,4772.000000,25.966300,-11.342000,120.000000,0.000024,7.704500,0.285020,-300.000000,0.000024,0.000789,reposo
0.002507,0.003401,0.000012,15.665300,4793.000000,25.068800,-11.367500,120.000000,0.000023,7.683500,0.289790,-426.400000,0.000023,0.000664,reposo
0.002648,0.003585,0.000013,16.427700,4804.000000,26.480100,-11.262100,120.000000,0.000026,7.683900,0.284700,0.000000,0.000026,0.000783,reposo
0.002792,0.003725,0.000014,17.460100,4742.000000,27.919900,-11.185400,120.000000,0.000028,7.676700,0.286440,-65.200000,0.000028,0.000730,reposo
0.002583,0.003498,0.000012,16.302200,4803.000000,25.829900,-11.310900,120.000000,0.000024,7.704200,0.286860,-435.800000,0.000024,0.000641,reposo
0.002624,0.003562,0.000013,16.157600,4739.000000,26.242700,-11.274900,120.000000,0.000025,7.696000,0.279040,0.000000,0.000025,0.000788,reposo
0.002861,0.003897,0.000015,17.774700,4775.000000,28.608600,-11.095000,120.000000,0.000030,7.680600,0.284060,-17.800000,0.000030,0.000837,reposo
0.002769,0.003758,0.000014,17.509000,4781.000000,27.685300,-11.167600,120.000000,0.000028,7.682100,0.279870,0.000000,0.000028,0.001102,reposo
0.002823,0.003851,0.000015,17.355400,4727.000000,28.227200,-11.118800,120.000000,0.000030,7.667000,0.292480,-300.000000,0.000030,0.000885,reposo
0.002898,0.003914,0.000015,18.296300,4746.000000,28.981600,-11.086400,120.000000,0.000031,7.667700,0.275850,-329.600000,0.000031,0.000609,reposo
0.002902,0.003977,0.000016,18.042200,4780.000000,29.019500,-11.054200,120.000000,0.000032,7.652400,0.285510,-313.000000,0.000032,0.000672,reposo
0.003199,0.004306,0.000019,19.934800,4761.000000,31.988800,-10.895400,120.000000,0.000037,7.667800,0.279410,-60.000000,0.000037,0.000918,reposo
0.003471,0.004699,0.000022,21.342800,4775.000000,34.706200,-10.720600,120.000000,0.000044,7.671100,0.283560,-121.200000,0.000044,0.000813,reposo
0.003791,0.005059,0.000026,23.084600,4761.000000,37.906800,-10.573200,120.000000,0.000051,7.678300,0.293570,-508.800000,0.000051,0.000642,reposo
0.003660,0.004984,0.000025,22.023300,4771.000000,36.600100,-10.603000,120.000000,0.000050,7.725800,0.291290,-92.000000,0.000050,0.000898,reposo
0.003297,0.004500,0.000020,19.588400,4777.000000,32.967000,-10.807100,120.000000,0.000041,7.718400,0.298120,-96.000000,0.000041,0.000700,reposo
0.003425,0.004618,0.000021,20.413000,4754.000000,34.247600,-10.755400,120.000000,0.000043,7.659300,0.299770,-116.000000,0.000043,0.000731,reposo
0.002946,0.004014,0.000016,17.909000,4740.000000,29.462500,-11.035900,120.000000,0.000032,7.667600,0.283610,-328.400000,0.000032,0.000665,reposo
0.003039,0.004160,0.000017,18.785900,4779.000000,30.392200,-10.964600,120.000000,0.000035,7.690500,0.288340,-327.200000,0.000035,0.000685,reposo
0.002867,0.003954,0.000016,17.277100,4740.000000,28.669400,-11.065700,120.000000,0.000031,7.661200,0.293340,-323.400000,0.000031,0.000751,reposo
0.003182,0.004293,0.000018,19.491600,4756.000000,31.819000,-10.901200,120.000000,0.000037,7.677200,0.289020,-510.600000,0.000037,0.000615,reposo
0.002925,0.003976,0.000016,18.048100,4747.000000,29.252000,-11.055100,120.000000,0.000032,7.677700,0.280780,-511.800000,0.000032,0.000522,reposo
0.002419,0.003350,0.000011,14.741800,4838.000000,24.193700,-11.397400,143.800000,0.000022,7.670700,0.299510,-391.400000,0.000022,0.000424,reposo
0.001851,0.002526,0.000006,12.136100,4914.000000,18.508400,-11.962400,120.000000,0.000013,7.699600,0.273210,-299.800000,0.000013,0.000648,reposo
0.001203,0.001591,0.000003,8.743700,5147.000000,12.028000,-12.886400,120.000000,0.000005,7.718400,0.240520,-300.000000,0.000005,0.000616,reposo
0.002693,0.004392,0.000019,17.140500,4932.000000,26.933100,-10.856000,173.000000,0.000039,7.706700,0.282840,-520.400000,0.000039,0.000484,reposo
0.002336,0.003811,0.000015,15.651300,5024.000000,23.357700,-11.139500,120.000000,0.000029,7.749800,0.229780,-96.200000,0.000029,0.000635,reposo
0.001352,0.001847,0.000003,9.020600,4952.000000,13.522600,-12.588500,120.000000,0.000007,7.733400,0.243480,-0.200000,0.000007,0.000509,reposo
0.001391,0.002342,0.000005,9.178200,4955.000000,13.904600,-12.113000,120.000000,0.000011,7.706900,0.236230,-165.400000,0.000011,0.000393,reposo
0.001030,0.001321,0.000002,7.373900,5028.000000,10.303800,-13.258900,120.000000,0.000003,7.744600,0.204870,0.000000,0.000003,0.000573,reposo
0.001300,0.001754,0.000003,8.288100,5027.000000,12.998400,-12.691400,120.000000,0.000006,7.703300,0.194300,0.000000,0.000006,0.000785,reposo
0.001160,0.001493,0.000002,8.040700,5038.000000,11.597800,-13.013500,120.000000,0.000004,7.751000,0.229950,-0.200000,0.000004,0.000667,reposo
0.001123,0.001439,0.000002,7.765600,5093.000000,11.227000,-13.087600,120.000000,0.000004,7.745300,0.218360,-0.200000,0.000004,0.000712,reposo
0.001265,0.001670,0.000003,8.735700,5029.000000,12.651300,-12.790100,120.000000,0.000006,7.757500,0.224900,0.000000,0.000006,0.000849,reposo
